,f1,f1_id,f1_static,f1_value,f2,f2_id,f2_static,f2_value
16,[*]c1ccc2c(N)[nH]nc2c1,CHEMBL1614776,[*]c1cc(N2CC(NC(=O)OC(C)(C)C)CCC2C)nc(N)n1,6.09999903485,[*]c1ccc2c(N)n[nH]c2c1,CHEMBL1765749,[*]c1cc(N2CC(NC(=O)OC(C)(C)C)CCC2C)nc(N)n1,5.70000050388
17,[*]c1ccc2c(N)n[nH]c2c1,CHEMBL1765749,[*]c1cc(N2CC(NC(=O)OC(C)(C)C)CCC2C)nc(N)n1,5.70000050388,[*]c1ccc2c(N)[nH]nc2c1,CHEMBL1614776,[*]c1cc(N2CC(NC(=O)OC(C)(C)C)CCC2C)nc(N)n1,6.09999903485
122,[*]c1cc2c(C=[*])n[nH]c2cc1C,CHEMBL1091231,[*]=Cc1cccc(CN2CCN(C)CC2)c1.[*]NC(=O)Cc1cccs1,7.10237290871,[*]c1ccc2[nH]nc(C=[*])c2c1,CHEMBL1091232,[*]=Cc1cccc(CN2CCN(C)CC2)c1.[*]NC(=O)Cc1cccs1,7.45593195565
123,[*]c1cc2c(C=[*])n[nH]c2cc1C,CHEMBL1091231,[*]=Cc1cccc(CN2CCN(C)CC2)c1.[*]NC(=O)Cc1cccs1,7.10237290871,[*]c1ccc2[nH]nc(C=[*])c2c1C,CHEMBL1091233,[*]=Cc1cccc(CN2CCN(C)CC2)c1.[*]NC(=O)Cc1cccs1,5.72124639905
124,[*]c1ccc2[nH]nc(C=[*])c2c1,CHEMBL1091232,[*]=Cc1cccc(CN2CCN(C)CC2)c1.[*]NC(=O)Cc1cccs1,7.45593195565,[*]c1cc2c(C=[*])n[nH]c2cc1C,CHEMBL1091231,[*]=Cc1cccc(CN2CCN(C)CC2)c1.[*]NC(=O)Cc1cccs1,7.10237290871
125,[*]c1ccc2[nH]nc(C=[*])c2c1,CHEMBL1091232,[*]=Cc1cccc(CN2CCN(C)CC2)c1.[*]NC(=O)Cc1cccs1,7.45593195565,[*]c1ccc2[nH]nc(C=[*])c2c1C,CHEMBL1091233,[*]=Cc1cccc(CN2CCN(C)CC2)c1.[*]NC(=O)Cc1cccs1,5.72124639905
126,[*]c1ccc2[nH]nc(C=[*])c2c1C,CHEMBL1091233,[*]=Cc1cccc(CN2CCN(C)CC2)c1.[*]NC(=O)Cc1cccs1,5.72124639905,[*]c1cc2c(C=[*])n[nH]c2cc1C,CHEMBL1091231,[*]=Cc1cccc(CN2CCN(C)CC2)c1.[*]NC(=O)Cc1cccs1,7.10237290871
127,[*]c1ccc2[nH]nc(C=[*])c2c1C,CHEMBL1091233,[*]=Cc1cccc(CN2CCN(C)CC2)c1.[*]NC(=O)Cc1cccs1,5.72124639905,[*]c1ccc2[nH]nc(C=[*])c2c1,CHEMBL1091232,[*]=Cc1cccc(CN2CCN(C)CC2)c1.[*]NC(=O)Cc1cccs1,7.45593195565
128,[*]c1ccc2[nH]c([*])cc2c1,CHEMBL520975,[*]OC.[*]c1cccc2c1C(=O)NC2,6.47108329972,[*]c1ccc2[nH]c([*])nc2c1,CHEMBL507927,[*]OC.[*]c1cccc2c1C(=O)NC2,6.68824613894
129,[*]c1ccc2[nH]c([*])cc2c1,CHEMBL520975,[*]OC.[*]c1cccc2c1C(=O)NC2,6.47108329972,[*]C([*])=O,CHEMBL473040,[*]OC.[*]c1cccc2c1C(=O)NC2,4
