,f1,f1_id,f1_static,f1_value,f2,f2_id,f2_static,f2_value
0,[*]N1CCN(C)CC1,CHEMBL605350,[*]c1cccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1,5.67039875164,[*]OC,CHEMBL599630,[*]c1cccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1,5.94157397554
1,[*]N1CCN(C)CC1,CHEMBL605350,[*]c1cccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1,5.67039875164,[*]OC,CHEMBL599631,[*]c1ccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,5.83953146888
2,[*]OC,CHEMBL599630,[*]c1cccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1,5.94157397554,[*]N1CCN(C)CC1,CHEMBL605350,[*]c1cccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1,5.67039875164
3,[*]OC,CHEMBL599630,[*]c1cccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1,5.94157397554,[*]N1CCN(C)CC1,CHEMBL598988,[*]c1ccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,5.8904214531
4,[*]N1CCN(C)CC1,CHEMBL598988,[*]c1ccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,5.8904214531,[*]OC,CHEMBL599630,[*]c1cccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1,5.94157397554
5,[*]N1CCN(C)CC1,CHEMBL598988,[*]c1ccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,5.8904214531,[*]OC,CHEMBL599631,[*]c1ccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,5.83953146888
6,[*]OC,CHEMBL599631,[*]c1ccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,5.83953146888,[*]N1CCN(C)CC1,CHEMBL605350,[*]c1cccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1,5.67039875164
7,[*]OC,CHEMBL599631,[*]c1ccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,5.83953146888,[*]N1CCN(C)CC1,CHEMBL598988,[*]c1ccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,5.8904214531
8,[*]c1cc([*])[nH]n1,CHEMBL214940,[*]CC(=O)Nc1cccc(F)c1F.[*]Nc1ncnc2cc(OCCCN3CCCC3CO)c(OC)cc12,7.10790539731,[*]c1cnc([*])s1,CHEMBL201197,[*]CC(=O)Nc1cccc(F)c1F.[*]Nc1ncnc2cc(OCCCN3CCCC3CO)c(OC)cc12,8.69897000434
9,[*]c1cnc([*])s1,CHEMBL201197,[*]CC(=O)Nc1cccc(F)c1F.[*]Nc1ncnc2cc(OCCCN3CCCC3CO)c(OC)cc12,8.69897000434,[*]c1cc([*])[nH]n1,CHEMBL214940,[*]CC(=O)Nc1cccc(F)c1F.[*]Nc1ncnc2cc(OCCCN3CCCC3CO)c(OC)cc12,7.10790539731
10,[*]N1CCOCC1,CHEMBL3670477,[*]Cc1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,6.69897000434,[*]N(C)C,CHEMBL3680412,[*]Cc1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,7.65757731918
11,[*]N1CCOCC1,CHEMBL3680557,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1C,9.52287874528,[*]N(C)C,CHEMBL3680412,[*]Cc1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,7.65757731918
12,[*]N(C)C,CHEMBL3680412,[*]Cc1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,7.65757731918,[*]N1CCOCC1,CHEMBL3670477,[*]Cc1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,6.69897000434
13,[*]N(C)C,CHEMBL3680412,[*]Cc1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,7.65757731918,[*]N1CCOCC1,CHEMBL3680557,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1C,9.52287874528
20,[*]CC([*])[*],CHEMBL3675451,[*]N(C)C.[*]Nc1ncnc2c(C(N)=O)cccc12.[*]c1cccc([N+](=O)[O-])c1,6,[*]CCC([*])[*],CHEMBL3680407,[*]N(C)C.[*]Nc1ncnc2c(C(N)=O)cccc12.[*]c1cccc([N+](=O)[O-])c1,5.79588001734
21,[*]CCC([*])[*],CHEMBL3680407,[*]N(C)C.[*]Nc1ncnc2c(C(N)=O)cccc12.[*]c1cccc([N+](=O)[O-])c1,5.79588001734,[*]CC([*])[*],CHEMBL3675451,[*]N(C)C.[*]Nc1ncnc2c(C(N)=O)cccc12.[*]c1cccc([N+](=O)[O-])c1,6
22,[*]C([*])C,CHEMBL3675463,[*]Nc1ncnc2c(C(N)=O)cccc12.[*]c1cccc(NC(=O)c2ccnc(OC)c2)c1,9.65757731918,[*]C[*],CHEMBL3680437,[*]Nc1ncnc2c(C(N)=O)cccc12.[*]c1cccc(NC(=O)c2ccnc(OC)c2)c1,9.03151705145
23,[*]C[*],CHEMBL3680437,[*]Nc1ncnc2c(C(N)=O)cccc12.[*]c1cccc(NC(=O)c2ccnc(OC)c2)c1,9.03151705145,[*]C([*])C,CHEMBL3675463,[*]Nc1ncnc2c(C(N)=O)cccc12.[*]c1cccc(NC(=O)c2ccnc(OC)c2)c1,9.65757731918
24,[*]C1CC1,CHEMBL559639,[*]NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3)nc1-2,6.67162039656,[*]C(C)=O,CHEMBL1099104,[*]c1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,5
25,[*]C1CC1,CHEMBL559639,[*]NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3)nc1-2,6.67162039656,[*]SC,CHEMBL1094478,[*]c1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,5
26,[*]C1CC1,CHEMBL559639,[*]NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3)nc1-2,6.67162039656,[*]N1CCN(C)CC1,CHEMBL560817,[*]c1ccc(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,7.2757241304
27,[*]C1CC1,CHEMBL559639,[*]NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3)nc1-2,6.67162039656,[*]OC,CHEMBL1094135,[*]c1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,6.21681130892
28,[*]C1CC1,CHEMBL559639,[*]NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3)nc1-2,6.67162039656,[*]CCO,CHEMBL538195,[*]NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3)nc1-2,6.43889861635
29,[*]C1CC1,CHEMBL559639,[*]NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3)nc1-2,6.67162039656,[*]OC,CHEMBL1095448,[*]c1cccc(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1,6.80134291305
30,[*]C1CC1,CHEMBL559639,[*]NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3)nc1-2,6.67162039656,[*]N1CCOCC1,CHEMBL556881,[*]c1ccc(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,7.2924298239
31,[*]C1CC1,CHEMBL559639,[*]NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3)nc1-2,6.67162039656,[*]C(C)C,CHEMBL1095772,[*]c1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,5
