,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
0,CHEMBL3087045,Cc1cc(cc(C)c1O)N=Nc2ccc(cc2)S(=O)(=O)Nc3ccc(F)cc3,Ki,13826986,=,8870,nM,9,B,CHEMBL3089621,0,Cc1cc(N=Nc2ccc(S(=O)(=O)Nc3ccc(F)cc3)cc2)cc(C)c1O,CHEMBL3087045,4.7510463845
1,CHEMBL3581659,COc1cc2c(cc1c3c(C)onc3C)[nH]c4ccnc(c5c(C)nn(c5C)c6ccccc6)c24,Ki,15613304,=,98.1,nM,9,B,CHEMBL3584940,0,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1ccnc(-c3c(C)nn(-c4ccccc4)c3C)c12,CHEMBL3581659,6.70730099696
2,CHEMBL3609309,CC[C@H]1N(C2CCCC2)c3nc(Nc4ccc(cc4)C(=O)NC5CCN(C)CC5)ncc3N(C)C1=O,Ki,15690564,=,60,nM,9,B,CHEMBL3610436,0,CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3)nc2N1C1CCCC1,CHEMBL3609309,6.92081875395
3,CHEMBL3086894,COc1ccc(NS(=O)(=O)c2ccc(cc2)N=Nc3cc(C)c(O)c(C)c3)cc1,Ki,13826100,=,6590,nM,9,B,CHEMBL3089621,0,COc1ccc(NS(=O)(=O)c2ccc(N=Nc3cc(C)c(O)c(C)c3)cc2)cc1,CHEMBL3086894,4.88008458974
4,CHEMBL3609304,COc1cc(ccc1Nc2ncc3N(C)C(=O)CN(C4CCCC4)c3n2)C(=O)NC5CCN(C)CC5,Ki,15690559,=,1400,nM,9,B,CHEMBL3610436,0,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)CC(=O)N2C,CHEMBL3609304,5.55284196866
5,CHEMBL3087052,Cc1cc(cc(C)c1O)N=Nc2ccc(cc2)S(=O)(=O)Nc3ccccn3,Ki,13826109,=,4300,nM,9,B,CHEMBL3089621,0,Cc1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)cc(C)c1O,CHEMBL3087052,5.06550154876
6,CHEMBL3087055,Cc1cc(cc(C)c1O)N=Nc2ccc(cc2)S(=O)(=O)Nc3cccc(c3)C(F)(F)F,Ki,13826106,=,7770,nM,9,B,CHEMBL3089621,0,Cc1cc(N=Nc2ccc(S(=O)(=O)Nc3cccc(C(F)(F)F)c3)cc2)cc(C)c1O,CHEMBL3087055,4.80854898554
7,CHEMBL3086892,Cc1cc(cc(C)c1O)N=Nc2ccc(cc2)S(=O)(=O)Nc3ccc(Br)cn3,Ki,13826102,=,38700,nM,9,B,CHEMBL3089621,0,Cc1cc(N=Nc2ccc(S(=O)(=O)Nc3ccc(Br)cn3)cc2)cc(C)c1O,CHEMBL3086892,4.11125903932
8,CHEMBL3581656,COc1cc2c(cc1c3c(C)onc3C)[nH]c4ccnc(c5c(C)n[nH]c5C)c24,Ki,15613263,=,100,nM,9,B,CHEMBL3584940,0,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1ccnc(-c3c(C)n[nH]c3C)c12,CHEMBL3581656,6.69897000434
9,CHEMBL3086895,Cc1cc(cc(C)c1O)N=Nc2ccc(cc2)S(=O)(=O)Nc3ccc(cc3)C(F)(F)F,Ki,13826144,=,10700,nM,9,B,CHEMBL3089622,0,Cc1cc(N=Nc2ccc(S(=O)(=O)Nc3ccc(C(F)(F)F)cc3)cc2)cc(C)c1O,CHEMBL3086895,4.66958622665
