,f1,f1_id,f1_static,f1_value,f2,f2_id,f2_static,f2_value
0,[*]CC,CHEMBL3654293,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.82390874094,[*]C1CC1,CHEMBL3654302,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.02227639471
1,[*]CC,CHEMBL3654293,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.82390874094,[*]C(C)C,CHEMBL3654303,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.08092190762
2,[*]C1CC1,CHEMBL3654302,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.02227639471,[*]CC,CHEMBL3654293,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.82390874094
3,[*]C1CC1,CHEMBL3654302,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.02227639471,[*]C(C)C,CHEMBL3654303,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.08092190762
4,[*]C1CC1,CHEMBL3654302,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.02227639471,[*]CC,CHEMBL3654294,[*]n1nc2c(c1C)C(c1ccc(Cl)cc1F)N(c1cc(C)c(=O)n(C)c1)C2=O,6.85387196432
5,[*]C(C)C,CHEMBL3654303,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.08092190762,[*]CC,CHEMBL3654293,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.82390874094
6,[*]C(C)C,CHEMBL3654303,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.08092190762,[*]C1CC1,CHEMBL3654302,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.02227639471
7,[*]C(C)C,CHEMBL3654303,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.08092190762,[*]CC,CHEMBL3654294,[*]n1nc2c(c1C)C(c1ccc(Cl)cc1F)N(c1cc(C)c(=O)n(C)c1)C2=O,6.85387196432
8,[*]CC,CHEMBL3654294,[*]n1nc2c(c1C)C(c1ccc(Cl)cc1F)N(c1cc(C)c(=O)n(C)c1)C2=O,6.85387196432,[*]C1CC1,CHEMBL3654302,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.02227639471
9,[*]CC,CHEMBL3654294,[*]n1nc2c(c1C)C(c1ccc(Cl)cc1F)N(c1cc(C)c(=O)n(C)c1)C2=O,6.85387196432,[*]C(C)C,CHEMBL3654303,[*]n1nc(C)c2c1C(=O)N(c1cc(C)c(=O)n(C)c1)C2c1ccc(Cl)cc1F,7.08092190762
