,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
0,CHEMBL216148,CCOc1ccccc1C(=O)c2cnc(NC3CCN(CC3)C(=O)C)nc2N,Ki,1777489,=,2030,nM,9,B,CHEMBL908827,0,CCOc1ccccc1C(=O)c1cnc(NC2CCN(C(C)=O)CC2)nc1N,CHEMBL216148,5.39147396642
1,CHEMBL2064558,CN(C)C[C@@H](NC(=O)N1Cc2c(NC(=O)c3ccccc3)n[nH]c2C1(C)C)c4ccccc4,Ki,10979948,=,1800,nM,8,B,CHEMBL2067019,0,CN(C)CC(NC(=O)N1Cc2c(NC(=O)c3ccccc3)n[nH]c2C1(C)C)c1ccccc1,CHEMBL2064558,5.44369749923
2,CHEMBL471727,Cc1cc(C)cc(Nc2nccc(n2)c3nc(C)c(CCO)s3)c1,Ki,2396801,>,2270,nM,8,B,CHEMBL945310,0,Cc1cc(C)cc(Nc2nccc(-c3nc(C)c(CCO)s3)n2)c1,CHEMBL471727,5.34294414714
3,CHEMBL571030,Cc1cnc(Nc2ccccc2C(F)(F)F)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4,Ki,2938312,>,4000,nM,8,B,CHEMBL1044905,0,Cc1cnc(Nc2ccccc2C(F)(F)F)nc1-c1c[nH]c(C(=O)NC(CO)c2ccccc2)c1,CHEMBL571030,5.09691001301
4,CHEMBL295398,CN(C)c1ccc(Nc2nccc(n2)c3sc(N)nc3C)cc1,Ki,284239,=,700,nM,8,B,CHEMBL658107,0,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N(C)C)cc2)n1,CHEMBL295398,5.85387196432
5,CHEMBL577193,Cc1cnc(Nc2ccccc2)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4cccc(Cl)c4,Ki,2938309,=,290,nM,8,B,CHEMBL1044905,0,Cc1cnc(Nc2ccccc2)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,CHEMBL577193,6.23657200644
6,CHEMBL470780,Cc1cc(C)cc(Nc2nccc(n2)c3ncc(C)s3)c1,Ki,2396805,=,1100,nM,8,B,CHEMBL945310,0,Cc1cc(C)cc(Nc2nccc(-c3ncc(C)s3)n2)c1,CHEMBL470780,5.65757731918
7,CHEMBL493169,FC(F)(F)c1cccc(c1)c2nnc3ccc(NC4CCNCC4)nn23,Ki,2639192,>,4000,nM,8,B,CHEMBL1022928,0,FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCNCC4)nn23)c1,CHEMBL493169,5.09691001301
8,CHEMBL296666,CCNc1nc(C)c(s1)c2ccnc(Nc3cccc(O)c3)n2,Ki,286580,>,10000,nM,8,B,CHEMBL658107,0,CCNc1nc(C)c(-c2ccnc(Nc3cccc(O)c3)n2)s1,CHEMBL296666,4.69897000434
9,CHEMBL213713,COc1cc(F)c(F)c(F)c1C(=O)c2cnc(NC3CCN(CC3)S(=O)(=O)C)nc2N,Ki,1777481,=,2,nM,9,B,CHEMBL908827,0,COc1cc(F)c(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,CHEMBL213713,8.39794000867
10,CHEMBL1084630,CCNc1nc(C)c(s1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,Ki,3304990,=,151,nM,8,B,CHEMBL1119481,0,CCNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1,CHEMBL1084630,6.51999305704
11,CHEMBL523823,CCN1C2=C(C(=O)ON2)C(=O)c3cc(O)c(Cl)cc13,Ki,2486589,>,8570,nM,8,B,CHEMBL994195,0,CCn1c2cc(Cl)c(O)cc2c(=O)c2c(=O)o[nH]c21,CHEMBL523823,4.76598918241
12,CHEMBL1083151,COc1cc(Nc2nccc(n2)c3sc(C)nc3C)cc(OC)c1OC,Ki,3304996,=,239,nM,8,B,CHEMBL1119481,0,COc1cc(Nc2nccc(-c3sc(C)nc3C)n2)cc(OC)c1OC,CHEMBL1083151,6.32057210339
13,CHEMBL385039,CN1CCN(CC1)c2ccc(Nc3ncc(C(=O)c4ccccc4C(F)(F)F)c(N)n3)cc2,Ki,1777432,>,10000,nM,9,B,CHEMBL908827,0,CN1CCN(c2ccc(Nc3ncc(C(=O)c4ccccc4C(F)(F)F)c(N)n3)cc2)CC1,CHEMBL385039,4.69897000434
14,CHEMBL303958,Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,Ki,7849681,=,1300,nM,8,B,CHEMBL1912414,0,Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,CHEMBL303958,5.58502665203
15,CHEMBL470175,Oc1cc(Nc2nccc(n2)c3nccs3)cc(c1)C(F)(F)F,Ki,2396795,=,1652,nM,8,B,CHEMBL945310,0,Oc1cc(Nc2nccc(-c3nccs3)n2)cc(C(F)(F)F)c1,CHEMBL470175,5.48095996135
16,CHEMBL473229,C[C@H](CO)NC(=O)c1sc(nc1C)c2ccnc(Nc3cc(C)cc(C)c3)n2,Ki,2396792,>,3330,nM,8,B,CHEMBL945310,0,Cc1cc(C)cc(Nc2nccc(-c3nc(C)c(C(=O)NC(C)CO)s3)n2)c1,CHEMBL473229,5.17652577083
