,f1,f1_id,f1_static,f1_value,f2,f2_id,f2_static,f2_value
0,[*]c1ccc2c(c1)NC(=O)C2=NNc1ccc(S(N)(=O)=O)cc1,CHEMBL272885,[*]Oc1ccccc1,6,[*]c1cccc2c1C(=NNc1ccc(S(N)(=O)=O)cc1)C(=O)N2,CHEMBL409104,[*]Oc1ccccc1,7.88605664769
1,[*]c1cccc2c1C(=NNc1ccc(S(N)(=O)=O)cc1)C(=O)N2,CHEMBL409104,[*]Oc1ccccc1,7.88605664769,[*]c1ccc2c(c1)NC(=O)C2=NNc1ccc(S(N)(=O)=O)cc1,CHEMBL272885,[*]Oc1ccccc1,6
2,[*]c1ccc2[nH]nc(C)c2c1,CHEMBL1080740,[*]c1nnc(NCC(N)Cc2ccc(Cl)cc2)s1,7.14266750357,[*]c1ccc2[nH]ncc2c1,CHEMBL1081451,[*]c1nnc(NCC(N)Cc2ccc(Cl)cc2)s1,7.38721614328
3,[*]c1ccc2[nH]ncc2c1,CHEMBL1081451,[*]c1nnc(NCC(N)Cc2ccc(Cl)cc2)s1,7.38721614328,[*]c1ccc2[nH]nc(C)c2c1,CHEMBL1080740,[*]c1nnc(NCC(N)Cc2ccc(Cl)cc2)s1,7.14266750357
4,[*]c1ccc(Cl)cc1Cl,CHEMBL1080912,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.15490195999,[*]c1ccc(Cl)cc1,CHEMBL1080740,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.14266750357
5,[*]c1ccc(Cl)cc1Cl,CHEMBL1080912,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.15490195999,[*]c1ccccc1Cl,CHEMBL1080891,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.24412514433
6,[*]c1ccc(Cl)cc1Cl,CHEMBL1080912,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.15490195999,[*]c1ccccc1,CHEMBL1087281,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.14266750357
7,[*]c1ccc(Cl)cc1Cl,CHEMBL1080912,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.15490195999,[*]c1cccc(Cl)c1,CHEMBL1080893,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.76955107862
8,[*]c1ccc(Cl)cc1Cl,CHEMBL1080912,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.15490195999,[*]c1ccccc1F,CHEMBL1088613,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,6.9829666607
9,[*]c1ccc(Cl)cc1Cl,CHEMBL1080912,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.15490195999,[*]c1ccc(F)c(F)c1,CHEMBL1080913,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.72124639905
10,[*]c1ccc(Cl)cc1,CHEMBL1080740,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.14266750357,[*]c1ccc(Cl)cc1Cl,CHEMBL1080912,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.15490195999
11,[*]c1ccc(Cl)cc1,CHEMBL1080740,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.14266750357,[*]c1ccccc1Cl,CHEMBL1080891,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.24412514433
13,[*]c1ccc(Cl)cc1,CHEMBL1080740,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.14266750357,[*]c1cccc(Cl)c1,CHEMBL1080893,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.76955107862
14,[*]c1ccc(Cl)cc1,CHEMBL1080740,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,7.14266750357,[*]c1ccccc1F,CHEMBL1088613,[*]CC(N)CNc1nnc(-c2ccc3[nH]nc(C)c3c2)s1,6.9829666607
