,f1,f1_id,f1_static,f1_value,f2,f2_id,f2_static,f2_value
0,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2177221,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.76955107862,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2177217,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.85387196432
1,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2177221,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.76955107862,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177212,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.45593195565
2,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2177217,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.85387196432,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2177221,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.76955107862
3,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2177217,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.85387196432,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177212,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.45593195565
4,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177212,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.45593195565,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2177221,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.76955107862
5,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177212,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.45593195565,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2177217,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.85387196432
6,[*]C1CC1,CHEMBL1272270,[*]C(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SC)n2C)ccn1,6.76955107862,[*]C1CCCC1,CHEMBL1272271,[*]C(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SC)n2C)ccn1,6.82390874094
7,[*]C1CCCC1,CHEMBL1272271,[*]C(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SC)n2C)ccn1,6.82390874094,[*]C1CC1,CHEMBL1272270,[*]C(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SC)n2C)ccn1,6.76955107862
8,[*]c1cccc([*])c1,CHEMBL2182082,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.92081875395,[*]c1cc([*])c(F)cc1C,CHEMBL2182085,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,8.52287874528
9,[*]c1cccc([*])c1,CHEMBL2182082,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.92081875395,[*]c1ccc(C)c([*])c1,CHEMBL2182083,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.56863623584
10,[*]c1cccc([*])c1,CHEMBL2182082,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.92081875395,[*]c1ccc(F)c([*])c1,CHEMBL2182084,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.76955107862
11,[*]c1cc([*])c(F)cc1C,CHEMBL2182085,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,8.52287874528,[*]c1cccc([*])c1,CHEMBL2182082,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.92081875395
12,[*]c1cc([*])c(F)cc1C,CHEMBL2182085,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,8.52287874528,[*]c1ccc(C)c([*])c1,CHEMBL2182083,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.56863623584
13,[*]c1cc([*])c(F)cc1C,CHEMBL2182085,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,8.52287874528,[*]c1ccc(F)c([*])c1,CHEMBL2182084,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.76955107862
14,[*]c1ccc(C)c([*])c1,CHEMBL2182083,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.56863623584,[*]c1cccc([*])c1,CHEMBL2182082,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.92081875395
15,[*]c1ccc(C)c([*])c1,CHEMBL2182083,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.56863623584,[*]c1cc([*])c(F)cc1C,CHEMBL2182085,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,8.52287874528
16,[*]c1ccc(C)c([*])c1,CHEMBL2182083,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.56863623584,[*]c1ccc(F)c([*])c1,CHEMBL2182084,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.76955107862
17,[*]c1ccc(F)c([*])c1,CHEMBL2182084,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.76955107862,[*]c1cccc([*])c1,CHEMBL2182082,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.92081875395
18,[*]c1ccc(F)c([*])c1,CHEMBL2182084,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.76955107862,[*]c1cc([*])c(F)cc1C,CHEMBL2182085,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,8.52287874528
19,[*]c1ccc(F)c([*])c1,CHEMBL2182084,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.76955107862,[*]c1ccc(C)c([*])c1,CHEMBL2182083,[*]NC(=O)c1ccsc1.[*]Nc1ccc2c(c1)CCCCC2=O,7.56863623584
20,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]OC,CHEMBL14478,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.80410034759
21,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]C(=O)NN1CCCCC1,CHEMBL14252,[*]c1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1,6.22257317761
22,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]CC(N)=O,CHEMBL1785002,[*]c1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,6.87289520164
23,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]CC(=O)NN1CCCCC1,CHEMBL276014,[*]c1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1,6.34390179799
24,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]C(F)(F)F,CHEMBL275666,[*]c1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1,6.87942606879
25,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]C(=O)O,CHEMBL14233,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.08618614762
26,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]OC,CHEMBL417804,[*]c1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,7.60205999133
27,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]OC,CHEMBL14300,[*]c1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1,7.72815839346
28,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]C(C)(C)C,CHEMBL275200,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.10237290871
29,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]CCCC(=O)O,CHEMBL13950,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,6.75945075172
30,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]C(=O)NN1CCNCC1,CHEMBL13830,[*]c1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1,6.39147396642
31,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]CC(=O)NN1CCNCC1,CHEMBL1785006,[*]c1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1,6.34390179799
32,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]C(F)(F)F,CHEMBL264227,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,6.66756154008
33,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]C(C)C,CHEMBL417079,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.38721614328
34,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]c1ccccc1,CHEMBL14187,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.21997087266
35,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]CCC(N)=O,CHEMBL1785003,[*]c1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,6.81998888094
36,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]CC(=O)O,CHEMBL273525,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,6.91998715289
37,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]CC,CHEMBL428877,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,8.13018179202
38,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696,[*]CCC(=O)O,CHEMBL14026,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.06854212931
39,[*]OC,CHEMBL14478,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.80410034759,[*]C(N)=O,CHEMBL275724,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.04720755696
40,[*]OC,CHEMBL14478,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.80410034759,[*]C(=O)NN1CCCCC1,CHEMBL14252,[*]c1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1,6.22257317761
41,[*]OC,CHEMBL14478,[*]c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,7.80410034759,[*]CC(N)=O,CHEMBL1785002,[*]c1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,6.87289520164
