,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
0,CHEMBL514207,CC1CCN(CC1)c2cc(ccn2)C(=O)Nc3ccc(C)c(c3)c4ccc(cc4)C(=O)NCC5CC5,Ki,2558377,=,15,nM,9,B,CHEMBL987298,0,Cc1ccc(NC(=O)c2ccnc(N3CCC(C)CC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,CHEMBL514207,7.52287874528
1,CHEMBL477182,Cc1ccc(NC(=O)c2ccnc(c2)N3CCCC3)cc1c4ccc(cc4)C(=O)NCC5CC5,Ki,2558380,=,1.9,nM,9,B,CHEMBL987298,0,Cc1ccc(NC(=O)c2ccnc(N3CCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,CHEMBL477182,8.42021640338
2,CHEMBL95692,COc1nccc(n1)c2c(ncn2C3CCNCC3)c4ccc(F)cc4,Ki,2558385,=,36,nM,9,B,CHEMBL987298,0,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,CHEMBL95692,7.14266750357
3,CHEMBL476752,CC(=O)Nc1cccc(NC(=O)c2ccc(C)c(c2)c3ccc(cc3)C(=O)Nc4cccc(c4)C#N)c1,Ki,2558363,=,79,nM,9,B,CHEMBL987298,0,CC(=O)Nc1cccc(NC(=O)c2ccc(C)c(-c3ccc(C(=O)Nc4cccc(C#N)c4)cc3)c2)c1,CHEMBL476752,6.80134291305
4,CHEMBL258748,CCNC(=O)c1cn2ncnc(Nc3cc(NC(=O)c4cccc(c4)N5CCOCC5)ccc3C)c2c1C,Ki,2160690,=,0.98,nM,8,B,CHEMBL933483,0,CCNC(=O)c1cn2ncnc(Nc3cc(NC(=O)c4cccc(N5CCOCC5)c4)ccc3C)c2c1C,CHEMBL258748,8.70774392864
5,CHEMBL272566,CNC(=O)c1cccc(NC(=O)c2ccc(cc2)c3cc(ccc3C)c4oc(C)nn4)c1,Ki,2086293,=,100,nM,8,B,CHEMBL946927,0,CNC(=O)c1cccc(NC(=O)c2ccc(-c3cc(-c4nnc(C)o4)ccc3C)cc2)c1,CHEMBL272566,6.69897000434
6,CHEMBL1290072,COc1ccc(CNc2ccnc3oc4ccccc4c23)cc1,Ki,3590776,>,1000000,nM,9,B,CHEMBL1292148,0,COc1ccc(CNc2ccnc3oc4ccccc4c23)cc1,CHEMBL1290072,2.69897000434
7,CHEMBL408476,Cc1oc(nn1)c2ccc(C)c(c2)c3ccc(cc3)C(=O)Nc4ccc(NS(=O)(=O)C)cc4,Ki,2086291,=,40,nM,8,B,CHEMBL946927,0,Cc1nnc(-c2ccc(C)c(-c3ccc(C(=O)Nc4ccc(NS(C)(=O)=O)cc4)cc3)c2)o1,CHEMBL408476,7.09691001301
8,CHEMBL477620,Cc1ccc(cc1)C(=O)Nc2ccc(C)c(c2)c3ccc(cc3)C(=O)NCC4CC4,Ki,2558369,=,100,nM,9,B,CHEMBL987298,0,Cc1ccc(C(=O)Nc2ccc(C)c(-c3ccc(C(=O)NCC4CC4)cc3)c2)cc1,CHEMBL477620,6.69897000434
9,CHEMBL270219,Cc1oc(nn1)c2ccc(C)c(c2)c3ccc(cc3)C(=O)NCc4ccccc4,Ki,2086287,=,100,nM,8,B,CHEMBL946927,0,Cc1nnc(-c2ccc(C)c(-c3ccc(C(=O)NCc4ccccc4)cc3)c2)o1,CHEMBL270219,6.69897000434
10,CHEMBL495290,C[C@H]1CN(CCN1c2nncc3cc(ccc23)c4c(C)ccc5c(NC6CC6)noc45)C(=O)C,Ki,2366633,=,0.8,nM,9,B,CHEMBL1035784,0,CC(=O)N1CCN(c2nncc3cc(-c4c(C)ccc5c(NC6CC6)noc45)ccc23)C(C)C1,CHEMBL495290,8.79588001734
11,CHEMBL259922,Cc1ccc(cc1Nc2ncnc3c2cnn3c4ccccc4)C(=O)Nc5ccon5,Ki,2158793,=,0.2,nM,9,B,CHEMBL934611,0,Cc1ccc(C(=O)Nc2ccon2)cc1Nc1ncnc2c1cnn2-c1ccccc1,CHEMBL259922,9.39794000867
12,CHEMBL476141,Cc1ccc(NC(=O)c2ccnc(c2)N3CCCCC3)cc1c4ccc(cc4)C(=O)NCC5CC5,Ki,2558392,=,9,nM,9,B,CHEMBL987299,0,Cc1ccc(NC(=O)c2ccnc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,CHEMBL476141,7.7447274949
13,CHEMBL516127,CN1CCN(CC1)c2ccc(CNC(=O)c3ccc(cc3)c4cc(ccc4C)C(=O)NC5CC5)cc2,Ki,2560664,=,3,nM,9,B,CHEMBL983811,0,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCc2ccc(N3CCN(C)CC3)cc2)cc1,CHEMBL516127,8.22184874962
14,CHEMBL478031,Cc1ccc(NC(=O)c2ccnc(NCC3CC3)c2)cc1c4ccc(cc4)C(=O)NCC5CC5,Ki,2558375,=,6.3,nM,9,B,CHEMBL987298,0,Cc1ccc(NC(=O)c2ccnc(NCC3CC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,CHEMBL478031,7.89962945488
15,CHEMBL408150,C[C@H](NC(=O)c1cn2ncnc(Nc3cc(NC(=O)c4cccc(c4)N5CCOCC5)ccc3C)c2c1C)c6ccccc6,Ki,2160692,=,0.46,nM,8,B,CHEMBL933483,0,Cc1ccc(NC(=O)c2cccc(N3CCOCC3)c2)cc1Nc1ncnn2cc(C(=O)NC(C)c3ccccc3)c(C)c12,CHEMBL408150,9.03621217265
16,CHEMBL1256042,COc1ccccc1CCNC(=O)c2cc(ccc2C)n3nc(cc3NC(=O)Nc4cccc5ccccc45)C(C)(C)C,Ki,3513316,>,3900,nM,8,B,CHEMBL1261656,0,COc1ccccc1CCNC(=O)c1cc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3ccccc23)ccc1C,CHEMBL1256042,5.10790539731
17,CHEMBL496313,Cc1ccc(cc1c2ccc3N=C(N)NC(=O)c3c2)C(=O)NC4CC4,Ki,2261763,=,49,nM,8,B,CHEMBL997720,0,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2nc(N)[nH]c(=O)c2c1,CHEMBL496313,7.00877392431
18,CHEMBL501431,CCCCN1C(=O)Nc2cc(ccc2C1=O)c3cc(NC(=O)c4ccc(CN5CCN(C)CC5)cc4)ccc3C,Ki,2261770,=,2000,nM,8,B,CHEMBL997720,0,CCCCn1c(=O)[nH]c2cc(-c3cc(NC(=O)c4ccc(CN5CCN(C)CC5)cc4)ccc3C)ccc2c1=O,CHEMBL501431,5.39794000867
19,CHEMBL1088751,CNC(=O)c1ccc(C)c(c1)N2C(=CC(=C(Br)C2=O)OCc3ccc(F)cc3F)C,Ki,3260869,=,5.8,nM,8,B,CHEMBL1111805,0,CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1,CHEMBL1088751,7.93554201077
20,CHEMBL1784173,CC(C)CNC(=O)c1ccc(nc1)c2cc(cc(F)c2C)C(=O)NC3CC3,Ki,6230242,=,7.94,nM,8,B,CHEMBL1787752,0,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)C)cn1,CHEMBL1784173,7.79914950191
21,CHEMBL261845,C[C@H](NC(=O)c1cn2ncnc(Nc3cc(NC(=O)c4cc(F)cc(c4)N5CCOCC5)ccc3C)c2c1C)c6ccccc6,Ki,2160694,=,0.54,nM,8,B,CHEMBL933483,0,Cc1ccc(NC(=O)c2cc(F)cc(N3CCOCC3)c2)cc1Nc1ncnn2cc(C(=O)NC(C)c3ccccc3)c(C)c12,CHEMBL261845,8.96657624451
22,CHEMBL516908,Cc1ccc(NC(=O)CC2CC2)cc1c3ccc(cc3)C(=O)NCC4CC4,Ki,2560692,=,70,nM,9,B,CHEMBL983811,0,Cc1ccc(NC(=O)CC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1,CHEMBL516908,6.85387196432
23,CHEMBL479038,O=C(NCC1CC1)c2ccc(cc2)c3cccc(c3)C(=O)NC4CC4,Ki,2560654,>,2500,nM,9,B,CHEMBL983811,0,O=C(NCC1CC1)c1ccc(-c2cccc(C(=O)NC3CC3)c2)cc1,CHEMBL479038,5.30102999566
24,CHEMBL1091928,CN1C(=O)C(=Cc2cnn(c12)c3c(F)cccc3F)c4cc(ccc4Cl)C(=O)NC5CC5,Ki,3251554,=,1.1,nM,9,B,CHEMBL1103663,0,Cn1c(=O)c(-c2cc(C(=O)NC3CC3)ccc2Cl)cc2cnn(-c3c(F)cccc3F)c21,CHEMBL1091928,8.65757731918
25,CHEMBL496130,Cc1onc(n1)c2ccc(cc2)c3cc(ccc3C)C(=O)NC4CC4,Ki,2261755,=,98,nM,8,B,CHEMBL997720,0,Cc1nc(-c2ccc(-c3cc(C(=O)NC4CC4)ccc3C)cc2)no1,CHEMBL496130,6.70774392864
26,CHEMBL1256041,Cc1ccc(cc1C(=O)NCCc2ccc(N)cc2)n3nc(cc3NC(=O)Nc4cccc5ccccc45)C(C)(C)C,Ki,3513315,=,1450,nM,8,B,CHEMBL1261656,0,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3ccccc23)cc1C(=O)NCCc1ccc(N)cc1,CHEMBL1256041,5.5376020021
