,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
0,CHEMBL404742,CCN(CCO)CCCOc1cc2cnnc(Nc3cnn(CC(=O)Nc4cccc(F)c4F)c3)c2cc1OC,Ki,2081466,=,540,nM,8,B,CHEMBL928667,0,CCN(CCO)CCCOc1cc2cnnc(Nc3cnn(CC(=O)Nc4cccc(F)c4F)c3)c2cc1OC,CHEMBL404742,5.96657624451
1,CHEMBL2297163,CC(C)N(CC1=Nc2ccccc2C(=O)N1)Cc3cn4cccc(C)c4n3,Ki,12582823,<,100000,nM,9,B,CHEMBL3075222,0,Cc1cccn2cc(CN(Cc3nc4ccccc4c(=O)[nH]3)C(C)C)nc12,CHEMBL2297163,3.69897000434
2,CHEMBL560556,CCC(=O)Nc1ccc(Sc2nc(C)cc(Nc3cc(C)[nH]n3)n2)cc1,Ki,2658094,=,5.1,nM,8,B,CHEMBL1031294,0,CCC(=O)Nc1ccc(Sc2nc(C)cc(Nc3cc(C)[nH]n3)n2)cc1,CHEMBL560556,7.99139982824
3,CHEMBL572878,CN1CCN(CC1)c2cc(Nc3cc(C)[nH]n3)nc(Sc4ccc(NC(=O)C5CC5)cc4)n2,Ki,3294175,=,0.6,nM,8,B,CHEMBL1104795,0,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,CHEMBL572878,8.92081875395
4,CHEMBL1083151,COc1cc(Nc2nccc(n2)c3sc(C)nc3C)cc(OC)c1OC,Ki,3305045,=,0.4,nM,9,B,CHEMBL1119477,0,COc1cc(Nc2nccc(-c3sc(C)nc3C)n2)cc(OC)c1OC,CHEMBL1083151,9.09691001301
5,CHEMBL214648,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(O)c4)[nH]n3)ncnc2cc1OCCCN5CCC(CO)CC5,Ki,1790469,=,140,nM,9,B,CHEMBL856402,0,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(O)c4)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,CHEMBL214648,6.55284196866
6,CHEMBL214849,CCCN(CCO)CCCOc1cc2ncnc(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)c2cc1OC,Ki,1790525,=,87,nM,9,B,CHEMBL856402,0,CCCN(CCO)CCCOc1cc2ncnc(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)c2cc1OC,CHEMBL214849,6.75945075172
7,CHEMBL386253,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2cc1OCCCNCCO,Ki,1790504,=,690,nM,9,B,CHEMBL856402,0,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2cc1OCCCNCCO,CHEMBL386253,5.8601209136
8,CHEMBL484006,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(n2)N4CCN(CC4)C(C)(C)C)cc1,Ki,2658107,=,1.3,nM,8,B,CHEMBL1031294,0,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C(C)(C)C)CC3)n2)cc1,CHEMBL484006,8.58502665203
9,CHEMBL568937,Cc1cnc(Nc2cccc3CCCc23)nc1c4c[nH]c(c4)C(=O)N[C@H](CO)c5cccc(Cl)c5,Ki,2939220,=,550,nM,8,B,CHEMBL1044907,0,Cc1cnc(Nc2cccc3c2CCC3)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,CHEMBL568937,5.95860731484
10,CHEMBL3594179,CN(C[C@@H]1CC[C@@H](N)CC1)c2nccc(Nc3cc([nH]n3)C4CCCN(C)C4=O)n2,Ki,15651919,>,5400,nM,9,B,CHEMBL3595328,0,CN1CCCC(c2cc(Nc3ccnc(N(C)CC4CCC(N)CC4)n3)n[nH]2)C1=O,CHEMBL3594179,4.96657624451
11,CHEMBL1780258,CCCCCCSc1nc(Nc2cc(C)[nH]n2)cc(C)c1C#N,Ki,6204413,=,3.8,nM,8,B,CHEMBL1781278,0,CCCCCCSc1nc(Nc2cc(C)[nH]n2)cc(C)c1C#N,CHEMBL1780258,8.11918640772
12,CHEMBL3594176,CN1CC[C@@H](C1=O)c2cc(Nc3ccnc(NC[C@@H]4CC[C@@H](N)CC4)n3)n[nH]2,Ki,15651916,>,5400,nM,9,B,CHEMBL3595328,0,CN1CCC(c2cc(Nc3ccnc(NCC4CCC(N)CC4)n3)n[nH]2)C1=O,CHEMBL3594176,4.96657624451
13,CHEMBL564449,Cc1cc(Nc2nc(Sc3ccc(NC(=O)C4CC4)cc3)nc5ccccc25)n[nH]1,Ki,2658088,<,1,nM,8,B,CHEMBL1031294,0,Cc1cc(Nc2nc(Sc3ccc(NC(=O)C4CC4)cc3)nc3ccccc23)n[nH]1,CHEMBL564449,8.69897000434
14,CHEMBL561617,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(n2)C4CC4)cc1,Ki,2658095,=,3.9,nM,8,B,CHEMBL1031294,0,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(C3CC3)n2)cc1,CHEMBL561617,8.10790539731
15,CHEMBL1835743,Nc1nc(Nc2cc(ccc2F)N3CCOCC3)nn1c4ccccn4,Ki,6373538,>,3000,nM,8,B,CHEMBL1840410,0,Nc1nc(Nc2cc(N3CCOCC3)ccc2F)nn1-c1ccccn1,CHEMBL1835743,5.22184874962
16,CHEMBL557279,CC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(n2)c4ccccc4)cc1,Ki,2658093,=,2.4,nM,8,B,CHEMBL1031294,0,CC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(-c3ccccc3)n2)cc1,CHEMBL557279,8.31875876262
17,CHEMBL425280,COc1cc2c(Nc3cc(CC(=O)Nc4ccccc4F)[nH]n3)ncnc2cc1OCCCN5CCC(CO)CC5,Ki,1790600,=,14,nM,9,B,CHEMBL856402,0,COc1cc2c(Nc3cc(CC(=O)Nc4ccccc4F)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,CHEMBL425280,7.55284196866
18,CHEMBL214842,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN5CCC(O)CC5,Ki,1790494,=,220,nM,9,B,CHEMBL856402,0,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN1CCC(O)CC1,CHEMBL214842,6.35654732351
19,CHEMBL1083484,Cc1nc(C)c(s1)c2ccnc(Nc3ccc(cc3)N4CCN(CC4)S(=O)(=O)C)n2,Ki,3305035,=,9.2,nM,9,B,CHEMBL1119477,0,Cc1nc(C)c(-c2ccnc(Nc3ccc(N4CCN(S(C)(=O)=O)CC4)cc3)n2)s1,CHEMBL1083484,7.73518217699
20,CHEMBL3580975,CN(Cc1ccc2[nH]cnc2c1Cl)c3nccc(Nc4cc([nH]n4)C5CC5)n3,Ki,15651909,=,3,nM,9,B,CHEMBL3595328,0,CN(Cc1ccc2[nH]cnc2c1Cl)c1nccc(Nc2cc(C3CC3)[nH]n2)n1,CHEMBL3580975,8.22184874962
21,CHEMBL1083150,CNc1ccc(Nc2nccc(n2)c3sc(C)nc3C)cc1,Ki,3305047,=,18,nM,9,B,CHEMBL1119477,0,CNc1ccc(Nc2nccc(-c3sc(C)nc3C)n2)cc1,CHEMBL1083150,7.44369749923
22,CHEMBL582829,Cc1cnc(Nc2cccc(F)c2C)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4cccc(Cl)c4,Ki,2939215,=,410,nM,8,B,CHEMBL1044907,0,Cc1cnc(Nc2cccc(F)c2C)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,CHEMBL582829,6.08618614762
23,CHEMBL3298293,CC1(CO)CCc2c(C1)[nH]nc2C(=O)Nc3cnn(Cc4ccccc4)c3,Ki,15006002,=,2300,nM,9,B,CHEMBL3380550,0,CC1(CO)CCc2c(C(=O)Nc3cnn(Cc4ccccc4)c3)n[nH]c2C1,CHEMBL3298293,5.33724216832
