,f1,f1_id,f1_static,f1_value,f2,f2_id,f2_static,f2_value
0,[*]c1ccc2c(c1)NC(=O)C2=NNc1ccc(S(N)(=O)=O)cc1,CHEMBL272885,[*]Oc1ccccc1,6,[*]c1cccc2c1C(=NNc1ccc(S(N)(=O)=O)cc1)C(=O)N2,CHEMBL409104,[*]Oc1ccccc1,7.88605664769
1,[*]c1cccc2c1C(=NNc1ccc(S(N)(=O)=O)cc1)C(=O)N2,CHEMBL409104,[*]Oc1ccccc1,7.88605664769,[*]c1ccc2c(c1)NC(=O)C2=NNc1ccc(S(N)(=O)=O)cc1,CHEMBL272885,[*]Oc1ccccc1,6
2,[*]c1sc(C)nc1C,CHEMBL44063,[*]c1ccnc(Nc2ccccc2Cl)n1,4.39794000867,[*]c1c(C)nc2ccccn12,CHEMBL308848,[*]c1ccnc(Nc2ccccc2Cl)n1,5.05551732785
3,[*]c1c(C)nc2ccccn12,CHEMBL308848,[*]c1ccnc(Nc2ccccc2Cl)n1,5.05551732785,[*]c1sc(C)nc1C,CHEMBL44063,[*]c1ccnc(Nc2ccccc2Cl)n1,4.39794000867
4,[*]c1cccc(Cl)c1,CHEMBL2158844,[*]Nc1nccc(-c2ccnc(N3CCOCC3)c2)n1,8.05060999336,[*]c1cccc(C)c1,CHEMBL2158848,[*]Nc1nccc(-c2ccnc(N3CCOCC3)c2)n1,7.33724216832
5,[*]c1cccc(Cl)c1,CHEMBL2158844,[*]Nc1nccc(-c2ccnc(N3CCOCC3)c2)n1,8.05060999336,[*]c1cccc(S(N)(=O)=O)c1,CHEMBL2158845,[*]Nc1nccc(-c2ccnc(N3CCOCC3)c2)n1,7.72124639905
6,[*]c1cccc(C)c1,CHEMBL2158848,[*]Nc1nccc(-c2ccnc(N3CCOCC3)c2)n1,7.33724216832,[*]c1cccc(Cl)c1,CHEMBL2158844,[*]Nc1nccc(-c2ccnc(N3CCOCC3)c2)n1,8.05060999336
7,[*]c1cccc(C)c1,CHEMBL2158848,[*]Nc1nccc(-c2ccnc(N3CCOCC3)c2)n1,7.33724216832,[*]c1cccc(S(N)(=O)=O)c1,CHEMBL2158845,[*]Nc1nccc(-c2ccnc(N3CCOCC3)c2)n1,7.72124639905
8,[*]c1cccc(S(N)(=O)=O)c1,CHEMBL2158845,[*]Nc1nccc(-c2ccnc(N3CCOCC3)c2)n1,7.72124639905,[*]c1cccc(Cl)c1,CHEMBL2158844,[*]Nc1nccc(-c2ccnc(N3CCOCC3)c2)n1,8.05060999336
9,[*]c1cccc(S(N)(=O)=O)c1,CHEMBL2158845,[*]Nc1nccc(-c2ccnc(N3CCOCC3)c2)n1,7.72124639905,[*]c1cccc(C)c1,CHEMBL2158848,[*]Nc1nccc(-c2ccnc(N3CCOCC3)c2)n1,7.33724216832
10,[*]C([*])C,CHEMBL3298984,[*]NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1.[*]c1ccc(Cl)c(F)c1,7.88605664769,[*]C([*])CO,CHEMBL3298414,[*]NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1.[*]c1ccc(F)c(Cl)c1,7.79588001734
11,[*]C([*])C,CHEMBL3298984,[*]NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1.[*]c1ccc(Cl)c(F)c1,7.88605664769,[*]C([*])CO,CHEMBL3298678,[*]NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1.[*]c1ccc(Cl)c(F)c1,8
12,[*]C([*])CO,CHEMBL3298414,[*]NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1.[*]c1ccc(F)c(Cl)c1,7.79588001734,[*]C([*])C,CHEMBL3298984,[*]NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1.[*]c1ccc(Cl)c(F)c1,7.88605664769
13,[*]C([*])CO,CHEMBL3298678,[*]NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1.[*]c1ccc(Cl)c(F)c1,8,[*]C([*])C,CHEMBL3298984,[*]NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1.[*]c1ccc(Cl)c(F)c1,7.88605664769
18,[*]c1sc(N)nc1C,CHEMBL482967,[*]c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,6.10790539731,[*]c1sc(C)nc1C,CHEMBL1085626,[*]c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,5.68235445678
