,f1,f1_id,f1_static,f1_value,f2,f2_id,f2_static,f2_value
2,[*]c1ccc2[nH]nc(C)c2c1,CHEMBL1080740,[*]c1nnc(NCC(N)Cc2ccc(Cl)cc2)s1,7.14266750357,[*]c1ccc2[nH]ncc2c1,CHEMBL1081451,[*]c1nnc(NCC(N)Cc2ccc(Cl)cc2)s1,7.38721614328
3,[*]c1ccc2[nH]ncc2c1,CHEMBL1081451,[*]c1nnc(NCC(N)Cc2ccc(Cl)cc2)s1,7.38721614328,[*]c1ccc2[nH]nc(C)c2c1,CHEMBL1080740,[*]c1nnc(NCC(N)Cc2ccc(Cl)cc2)s1,7.14266750357
46,[*]c1cc([*])ncn1,CHEMBL316809,[*]N(Cc1ccccc1)c1cc(Cl)ccc1Cl.[*]Nc1ccc(OCC(O)CN(C)C)cc1,4,[*]c1ccnc([*])n1,CHEMBL102008,[*]N(Cc1ccccc1)c1cc(Cl)ccc1Cl.[*]Nc1ccc(OCC(O)CN(C)C)cc1,5
47,[*]c1ccnc([*])n1,CHEMBL102008,[*]N(Cc1ccccc1)c1cc(Cl)ccc1Cl.[*]Nc1ccc(OCC(O)CN(C)C)cc1,5,[*]c1cc([*])ncn1,CHEMBL316809,[*]N(Cc1ccccc1)c1cc(Cl)ccc1Cl.[*]Nc1ccc(OCC(O)CN(C)C)cc1,4
72,[*]c1cc([*])ncn1,CHEMBL322640,[*]Nc1cc(Cl)ccc1Cl.[*]Nc1ccc(OCC(O)CN(C)C)cc1,4.65757731918,[*]c1ccnc([*])n1,CHEMBL101311,[*]Nc1cc(Cl)ccc1Cl.[*]Nc1ccc(OCC(O)CN(C)C)cc1,6
73,[*]c1ccnc([*])n1,CHEMBL101311,[*]Nc1cc(Cl)ccc1Cl.[*]Nc1ccc(OCC(O)CN(C)C)cc1,6,[*]c1cc([*])ncn1,CHEMBL322640,[*]Nc1cc(Cl)ccc1Cl.[*]Nc1ccc(OCC(O)CN(C)C)cc1,4.65757731918
78,[*]c1ccnc(C)n1,CHEMBL1957229,[*]CNC(=O)c1ncoc1-c1ccc(OC)c(Cl)c1,5.49999967866,[*]c1ccnc(Cl)c1,CHEMBL1957102,[*]CNC(=O)c1ncoc1-c1ccc(OC)c(Cl)c1,6.19999817218
79,[*]c1ccnc(C)n1,CHEMBL1957229,[*]CNC(=O)c1ncoc1-c1ccc(OC)c(Cl)c1,5.49999967866,[*]c1ccn2ccnc2c1,CHEMBL1957231,[*]CNC(=O)c1ncoc1-c1ccc(OC)c(Cl)c1,6.29999760286
80,[*]c1ccnc(C)n1,CHEMBL1957229,[*]CNC(=O)c1ncoc1-c1ccc(OC)c(Cl)c1,5.49999967866,[*]c1ccnnc1,CHEMBL1957228,[*]CNC(=O)c1ncoc1-c1ccc(OC)c(Cl)c1,6.29999760286
81,[*]c1ccnc(C)n1,CHEMBL1957229,[*]CNC(=O)c1ncoc1-c1ccc(OC)c(Cl)c1,5.49999967866,[*]c1ccncc1,CHEMBL1957091,[*]CNC(=O)c1ncoc1-c1ccc(OC)c(Cl)c1,6.29999760286
82,[*]c1ccnc(C)n1,CHEMBL1957229,[*]CNC(=O)c1ncoc1-c1ccc(OC)c(Cl)c1,5.49999967866,[*]c1ccnc(C)c1,CHEMBL1957225,[*]CNC(=O)c1ncoc1-c1ccc(OC)c(Cl)c1,5.8999984172
83,[*]c1ccnc(Cl)c1,CHEMBL1957102,[*]CNC(=O)c1ncoc1-c1ccc(OC)c(Cl)c1,6.19999817218,[*]c1ccnc(C)n1,CHEMBL1957229,[*]CNC(=O)c1ncoc1-c1ccc(OC)c(Cl)c1,5.49999967866
