,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
0,CHEMBL1682556,C1CCC(CC1)Nc2c(nc3sccn23)c4ccc5[nH]ncc5c4,Ki,5241355,=,5339,nM,8,B,CHEMBL1685433,0,c1cn2c(NC3CCCCC3)c(-c3ccc4[nH]ncc4c3)nc2s1,CHEMBL1682556,4.97151008348
1,CHEMBL460466,CCCN1N(C(=O)C(=C1C)C(=O)Nc2ccc(Oc3ccnc4cc(OC)ccc34)c(F)c2)c5ccccc5,Ki,2449063,=,460,nM,8,B,CHEMBL989219,0,CCCn1c(C)c(C(=O)Nc2ccc(Oc3ccnc4cc(OC)ccc34)c(F)c2)c(=O)n1-c1ccccc1,CHEMBL460466,6.03621217265
2,CHEMBL190239,CCCCCCCCC(O)Cn1cc2c(N)ncnc2n1,Ki,5236366,=,0.28,nM,9,B,CHEMBL1686402,0,CCCCCCCCC(O)Cn1cc2c(N)ncnc2n1,CHEMBL190239,9.25181197299
3,CHEMBL3585362,COc1cc(cnc1Cl)N2CCc3nc(NC(=O)NCCc4cn(CC(F)F)cn4)sc3C2,Ki,15627193,>,4000,nM,9,B,CHEMBL3587038,0,COc1cc(N2CCc3nc(NC(=O)NCCc4cn(CC(F)F)cn4)sc3C2)cnc1Cl,CHEMBL3585362,5.09691001301
4,CHEMBL1682344,c1cc2[nH]ncc2cc1c3c[nH]nn3,Ki,5240134,=,3554,nM,8,B,CHEMBL1685405,0,c1cc2[nH]ncc2cc1-c1c[nH]nn1,CHEMBL1682344,5.14825258087
5,CHEMBL385178,O=C(Nc1ccc(Oc2ccccc2)cc1)c3cccnc3NCc4ccncc4,Ki,2047660,=,10,nM,8,B,CHEMBL925259,0,O=C(Nc1ccc(Oc2ccccc2)cc1)c1cccnc1NCc1ccncc1,CHEMBL385178,7.69897000434
6,CHEMBL1683647,CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(CCCCCBr)cc3OC2(C)C,Ki,5236354,=,8,nM,9,B,CHEMBL1686402,0,CC1=CCC2C(C1)c1c(O)cc(CCCCCBr)cc1OC2(C)C,CHEMBL1683647,7.79588001734
7,CHEMBL2031912,COc1ccc2c(Oc3ccc(NC(=O)C4=C(C5CCOC5)N(C)N(C4=O)c6ccccc6)cc3F)ccnc2c1,Ki,10882262,=,131,nM,8,B,CHEMBL2032454,0,COc1ccc2c(Oc3ccc(NC(=O)c4c(C5CCOC5)n(C)n(-c5ccccc5)c4=O)cc3F)ccnc2c1,CHEMBL2031912,6.58169870868
8,CHEMBL101683,Clc1ccc(NC(=O)c2ccccc2NCc3ccncc3)cc1,Ki,2047669,=,15,nM,8,B,CHEMBL925259,0,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,CHEMBL101683,7.52287874528
9,CHEMBL249192,CCOC(=O)c1coc(c1)c2cccc(NC(=O)c3cccnc3NCc4ccncc4)c2,Ki,2047656,=,29,nM,8,B,CHEMBL925259,0,CCOC(=O)c1coc(-c2cccc(NC(=O)c3cccnc3NCc3ccncc3)c2)c1,CHEMBL249192,7.23657200644
10,CHEMBL250684,FC(F)(F)c1cc(NC(=O)c2cccnc2NCc3ccncc3)ccc1Cl,Ki,2047666,=,4,nM,8,B,CHEMBL925259,0,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1cccnc1NCc1ccncc1,CHEMBL250684,8.09691001301
