,f1,f1_id,f1_static,f1_value,f2,f2_id,f2_static,f2_value
316,[*]c1ccc2c(c1)-c1[nH]nc([*])c1C2,CHEMBL223220,[*]CN1CCN(C)CC1.[*]c1ccc(CN(C)C(=O)Nc2cccc(C)c2)s1,7.2924298239,[*]c1ccc2c(c1)Cc1c([*])n[nH]c1-2,CHEMBL225248,[*]CN1CCN(C)CC1.[*]c1ccc(CN(C)C(=O)Nc2cccc(C)c2)s1,6.79860287568
317,[*]c1ccc2c(c1)Cc1c([*])n[nH]c1-2,CHEMBL225248,[*]CN1CCN(C)CC1.[*]c1ccc(CN(C)C(=O)Nc2cccc(C)c2)s1,6.79860287568,[*]c1ccc2c(c1)-c1[nH]nc([*])c1C2,CHEMBL223220,[*]CN1CCN(C)CC1.[*]c1ccc(CN(C)C(=O)Nc2cccc(C)c2)s1,7.2924298239
382,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1csc2ccnc(N)c12,CHEMBL394619,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,7.49485002168
383,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1ccc(Br)c2[nH]nc(N)c12,CHEMBL219727,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8
384,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1c(C)sc2ncnc(N)c12,CHEMBL371329,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.21968268786
385,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1ccnc2[nH]nc(N)c12,CHEMBL257479,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,9
386,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1cccc2c1c(N)nn2C,CHEMBL387312,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,7.95860731484
387,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1csc2ncnc(N)c12,CHEMBL196363,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.51999305704
388,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1cccc2onc(N)c12,CHEMBL410130,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.15490195999
389,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1cncc2[nH]nc(N)c12,CHEMBL272938,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,9.22184874962
390,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1c(C)sc2ccnc(N)c12,CHEMBL389524,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,7.56863623584
391,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1noc2ncnc(N)c12,CHEMBL211378,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,7.01322826573
392,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1ccc(C)c2[nH]nc(N)c12,CHEMBL219887,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.52287874528
393,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1cccc2c(N)n[nH]c12,CHEMBL2046838,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,3
394,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1csc2ccnc(N)c12,CHEMBL231454,[*]c1cccc(NC(=O)Nc2cccc(C)c2)c1,6.60205999133
395,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1cccc2c1cnn2C,CHEMBL222974,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,6.33254704711
396,[*]c1cncc2c1c(N)nn2C,CHEMBL404367,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,8.33724216832,[*]c1nsc2ncnc(N)c12,CHEMBL376951,[*]c1ccc(NC(=O)Nc2cccc(C)c2)cc1,7.88605664769
