,f1,f1_id,f1_static,f1_value,f2,f2_id,f2_static,f2_value
0,[*]OC,CHEMBL269894,[*]c1cccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)c1,7.95860731484,[*]C(F)(F)F,CHEMBL269886,[*]c1ccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)cc1,6.76195389687
1,[*]OC,CHEMBL269894,[*]c1cccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)c1,7.95860731484,[*]OC(F)(F)F,CHEMBL271955,[*]c1ccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)cc1,6.91009488856
2,[*]OC,CHEMBL269894,[*]c1cccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)c1,7.95860731484,[*]C(F)(F)F,CHEMBL270302,[*]c1ccccc1NC(=O)Nc1ccc(-c2cccc3onc(N)c23)cc1,5.21034879121
3,[*]OC,CHEMBL269894,[*]c1cccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)c1,7.95860731484,[*]C(F)(F)F,CHEMBL271796,[*]c1cccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)c1,7.43179827593
4,[*]OC,CHEMBL269894,[*]c1cccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)c1,7.95860731484,[*]OC(F)(F)F,CHEMBL409912,[*]c1ccccc1NC(=O)Nc1ccc(-c2cccc3onc(N)c23)cc1,6.09366495819
5,[*]C(F)(F)F,CHEMBL269886,[*]c1ccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)cc1,6.76195389687,[*]OC,CHEMBL269894,[*]c1cccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)c1,7.95860731484
6,[*]C(F)(F)F,CHEMBL269886,[*]c1ccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)cc1,6.76195389687,[*]OC(F)(F)F,CHEMBL271955,[*]c1ccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)cc1,6.91009488856
7,[*]C(F)(F)F,CHEMBL269886,[*]c1ccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)cc1,6.76195389687,[*]OC,CHEMBL269885,[*]c1ccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)cc1,7.65757731918
8,[*]C(F)(F)F,CHEMBL269886,[*]c1ccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)cc1,6.76195389687,[*]OC(F)(F)F,CHEMBL409912,[*]c1ccccc1NC(=O)Nc1ccc(-c2cccc3onc(N)c23)cc1,6.09366495819
9,[*]OC(F)(F)F,CHEMBL271955,[*]c1ccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)cc1,6.91009488856,[*]OC,CHEMBL269894,[*]c1cccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)c1,7.95860731484
